stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding,platform_code,equipment,ext_juris,ext_lighting,ext_photo,ext_shelter,jurisdiction
9526,10047,12th St & Washington St,SB 12th St & NS Washington St,33.44857100,-112.05651400,,,0,,0,,,Phoenix," "," ",0,Phoenix
3645,10945,12th St & Whitton Av,SB 12th St & FS Whitton Av,33.48895400,-112.05643300,,,0,,0,,,Phoenix," "," ",0,Phoenix
1923,10876,12th St & Willetta St,NB 12th St & FS Willetta St,33.46410300,-112.05628100,,,0,,0,,,Phoenix," "," ",0,Phoenix
3646,10957,12th St & Willetta St,SB 12th St & FS Willetta St,33.46330600,-112.05649900,,,0,,0,,,Phoenix," "," ",0,Phoenix
9000,10015,12th St/Jefferson,FS 12th St/EB Jefferson,33.44719900,-112.05566400,,,0,,0,,,,,,,Phoenix
9028,10030,12th St/Washington,FS 12th St/WB Washington,33.44824800,-112.05717900,,,0,,0,,,,,,,Phoenix
3651,11140,15th Av & Adams St,SB 15th Av & FS Adams St,33.44894300,-112.09152500,,,0,,0,,,Phoenix," "," ",0,Phoenix
1952,15722,15th Av & Brown St,NB 15th Av & NS Brown St,33.57730500,-112.09115700,,,0,,0,,,Phoenix," "," ",0,Phoenix
3650,15599,15th Av & Brown St,SB 15th Av & NS Brown St,33.57776900,-112.09133300,,,0,,0,,,Phoenix," "," ",0,Phoenix
3152,10777,15th Av & Buckeye Rd,NB 15th Av & FS Buckeye Rd,33.43731500,-112.09117200,,,0,,0,,,Phoenix," "," ",0,Phoenix
4845,10857,15th Av & Buckeye Rd,SB 15th Av & FS Buckeye Rd,33.43639500,-112.09132600,,,0,,0,,,Phoenix," "," ",0,Phoenix
1929,11072,15th Av & Camelback Rd,NB 15th Av & FS Camelback Rd,33.51004100,-112.09115200,,,0,,0,,,Phoenix," "," ",0,Phoenix
3652,11123,15th Av & Camelback Rd,SB 15th Av & FS Camelback Rd,33.50901000,-112.09138100,,,0,,0,,,Phoenix," "," ",0,Phoenix
