area_id,area_name
AZPE,Arizona Ave & Pecos Rd
AZRA,Arizona Ave & Ray Rd
AZWA,Arizona Ave & Warner Rd
5SVB,Arizona Center
AZCT,Arizona Center
ARMA,Arrowhead Mall North
ARMA1,Arrowhead Mall South
AVCC,Avondale Civic Center
AVTC,Avondale TC
VALU,Banner Baywood Medical Center
LRCEBA,Baseline/Central Ave
BAFU,Basha Rd & Fulton Ranch Blvd
DVPR,Bell Rd/I-17 PNR
BLPR,Bell Rd/SR51 PNR
BE17,Bethany Home Rd & 17th Ave
BOWA,Boston St & Washington St
BGCL,Boys and Girls Club of Old Town
BDCE,Broadway Rd & Center St
BDCC,Broadway Rd & Country Club Dr
BDGR,Broadway Rd & Greenfield Rd
BRPO,Broadway Rd & Power Rd
BDRO,Broadway Rd & Roosevelt St
BDWI,Broadway Rd & Williams Rd
LRCEBD,Broadway/Central Ave
BRME,Brown Rd & Mesa Dr
BUPR,Buckeye PNR
LRCEBU,Buckeye/Central Ave
CAHS,Camelback High School
CA95,Camelback Rd & 95th Ave
CAMA,Camelback Rd & Marshall Way
CECP,Campbell/Central Ave
GLCL,Cascalote
BECA,Cave Creek Rd & Bell Rd
CACT,Cave Creek Rd & Cactus Rd
CCRG,Cave Creek Rd & Rose Garden Ln
CAUH,Cave Creek Rd & Union Hills Dr
CEMA,Centennial Wy & Main St
WACP,Center Pkwy/Washington
CEMC,Center St & McKellips Rd
CEUN,Center St & University Dr
MACE,Center/Main St
CEBA,Central Ave & Baseline Rd
CEBE,Central Ave & Bethany Home Rd
CEBD,Central Ave & Broadway Rd
CEBU,Central Ave & Buckeye Rd
CECA,Central Ave & Camelback Rd
CEDO,Central Ave & Dobbins Rd
CEGL,Central Ave & Glendale Ave
CEIN,Central Ave & Indian School Rd
CEMD,Central Ave & McDowell Rd
CENO,Central Ave & Northern Ave
CEPO,Central Ave & Polk St
CERE,Central Ave & Roeser Rd
CERO,Central Ave & Roosevelt St
CESO,Central Ave & Southern Ave
CETH,Central Ave & Thomas Rd
CEVA,Central Ave & Van Buren St
CEVA-W,Central Ave & Van Buren St
LRCECA,Central Ave/Camelback
BUCC,Centre Ave & Buckeye Senior Center
CSCH,Cesar Chavez High School
CH40,Chandler Blvd & 40th St
CHVI,Chandler Blvd & Chandler Village Dr
CHDF,Chandler Blvd & Desert Foothills Pkwy
CHMC,Chandler Blvd & McQueen Rd
CHFC,Chandler Fashion Center TC
CHPR,Chandler PNR
COCU,College Ave & Curry Rd
COSO,College Ave & Southern Ave
COUN,College Ave & University Dr
CLAP,College Ave/Apache
CORI,Connolly Middle School
RACO,Cooper Rd & Ray Rd
CCBD,Country Club Dr & Broadway Rd
CCBR,Country Club Dr & Brown Rd
CCGU,Country Club Dr & Guadalupe Rd
CCJU,Country Club Dr & Juanita Ave
CCMA,Country Club Dr & Main St
CCMK,Country Club Dr & McKellips Rd
CCME,Country Club Dr & Meseto Ave
CCSA,Country Club Dr & San Angelo St
SOCC,Country Club Dr & Southern Ave
LRCCMA,Country Club/Main St
COCO,Coyote Branch Library
BOGR,Desert Botanical Garden
DRMP,Desert Ridge Marketplace
DSTC,Desert Sky TC
DOBA,Dobson Rd & Baseline Rd
DOBD,Dobson Rd & Broadway Rd
DOCH,Dobson Rd & Chandler Blvd
ELDO,Dobson Rd & Elliot Rd
DOFR,Dobson Rd & Frye Rd
DOGE,Dobson Rd & Germann Rd
DOPE,Dobson Rd & Pecos Rd
DOQC,Dobson Rd & Queen Creek Rd
DORA,Dobson Rd & Ray Rd
8SDO,Dobson Rd & Rio Salado Pkwy
SODO,Dobson Rd & Southern Ave
DOSO,Dobson Rd & Southern Ave
DOUN,Dobson Rd & University Dr
DOWA,Dobson Rd & Warner Rd
DRBD,Dorsey Ln & Broadway Rd
APDO,Dorsey Ln/Apache Blvd
DP1A1,Downtown Phx Hub/1st Ave
DPCE2,Downtown Phx Hub/Central Ave
DPJE1,Downtown Phx Hub/Jefferson St
DPWA2,Downtown Phx Hub/Washington St
DRDW,Dreamy Draw PNR
DRIN,Drinkwater Blvd & Indian School Rd
DYGL,Dysart Rd & Glendale Ave
DYVA,Dysart Rd & Van Buren St
63IN1E,EB Indian School FS 63 Av
45TH1E,EB Thomas FS 4500 East
SKYEAS,East Economy Station
ML11TH,Eleventh St/Mill
CEEN,Encanto/Central Ave
ESCL,Escalante Community Center
ESLO,Esperanza Ave & Telera St
EMCA,Estrella Mtn CC Avondale
EMCC,Estrella Mtn CC Buckeye
EVUN,Evergreen Rd & University Dr
EVSO,Evergreen St & Southern Ave
5SASH,Fifth St & Ash
FI4S,Fillmore St & 4th St
FOGA,Forest Ave & Gammage Pkwy
VBGP,Galvin Pkwy & Van Buren St
GBCO,Gila Bend Community Services Dept
GBFR,Gila Bend Family Resource Center 303 E Pima St
GRIC,Gila River Indian Community Service Center
MRCY,Gilbert Mercy Hospital
GIAS,Gilbert Rd & Ash St
GIBA,Gilbert Rd & Baseline Rd
GIBR,Gilbert Rd & Broadway Rd
GIBN,Gilbert Rd & Brown Rd
GICH,Gilbert Rd & Chandler Blvd
GICV,Gilbert Rd & Civic Center Dr
ELGI,Gilbert Rd & Elliot Rd
GIGE,Gilbert Rd & Germann Rd
GIHO,Gilbert Rd & Houston Ave
GIIN,Gilbert Rd & Insight Way
GIMC,Gilbert Rd & McDowell PNR
GIMK,Gilbert Rd & McKellips Rd
RAGI,Gilbert Rd & Ray Rd
GIRY,Gilbert Rd & Ryan Rd
GISO,Gilbert Rd & Southern Ave
LRMAGI,Gilbert Rd/Main St
GMTC,Gilbert Rd/Main St TC
GLGH,Glen Harbor Blvd & Glendale Ave
GLLR,Glendale Ave & Litchfield Rd
95GL,Glendale Ave @ Westgate
54OC,Glendale Community Center
GEPR,Glendale PNR
GL19,Glendale/19th Ave
GYPR,Goodyear PNR
GRCA,Granite Reef Rd & Camelback Rd
GRCH,Granite Reef Rd & Chaparral Rd
GRIN,Granite Reef Rd & Indian School Rd
GRMC,Granite Reef Rd & McDowell Rd
GRSE,Granite Reef Senior Center
SOGR,Greenfield Rd & Southern Ave
GSCS,Greg Stanton CS
HAMO,Hamilton St & Morelos St
HVPR,Happy Valley PNR
HVPR1,Happy Valley Park-and-Ride
HABA,Hardy Dr & Baseline Rd
HABD,Hardy Dr & Broadway Rd
TMSC,Hardy Dr & Tempe Sports Complex
HAUN,Hardy Dr & University Dr
HAWA,Hardy Dr & Warner Rd
HAVD,Hayden & Via De Ventura
HFRS,Hayden Ferry & Rio Salado
HACA,Hayden Rd & Camelback Rd
HAIB,Hayden Rd & Indian Bend Rd
HAMP,Hayden Rd & McCormick Pkwy
HAMD,Hayden Rd & McDonald Dr
HAMC,Hayden Rd & McDowell Rd
HAMK,Hayden Rd & McKellips Rd
HARO,Hayden Rd & Roosevelt St
HBMA,Hibbert & Main St
IKEA,IKEA
INTEL,INTEL
IN91,Indian School Rd & 91st Ave
INGW,Indian School Rd & Goldwater Blvd
INHA,Indian School Rd & Hayden Rd
LRCEIN,Indian School/Central Ave
INST,Inverness Ave & Stapley Dr
JE16,Jefferson St & 16th St
JOBA,Jesse Owens Pkwy & Baseline Rd
JCLH,John C. Lincoln Hospital
KOHC,Komatke Health Center
KYBA,Kyrene Rd & Baseline Rd
KYCH,Kyrene Rd & Chandler Blvd
KYEL,Kyrene Rd & Elliot Rd
KYGU,Kyrene Rd & Guadalupe Rd
KYRW,Kyrene Rd & Warner Rd
LABA,Lakeshore Dr & Baseline Rd
LAGU,Lakeshore Dr & Guadalupe Rd
LERU,Lemon St & Rural Rd
LECO,Lewis Ct & Coury Ave
