area_id,stop_id
7SCA,2630
7SCA,4341
7SCA,270
7SCA,5569
7SDE,1227
7SDE,1124
7SDO,3258
7SDO,7999
7SDO,8079
7SDU,2635
7SDU,4346
7SDU,319
7SGL,2637
7SGL,4348
7SGL,365
7SGL,5651
GR7S,8229
GR7S,8278
7SJO,20060
7SJO,7964
7SNO,556
7SNO,5804
7SRE,3263
7SRE,4988
7SRE,5841
7SRE,594
7SSO,3267
7SSO,4990
7SSO,5933
7SSO,688
7STH,2661
7STH,4372
7STH,5998
7STH,768
7STB,2663
7STB,4373
7STB,6025
7STB,792
7SUN,1015
7SUN,9191
7SUN,6044
7SUN,810
7SVB,4376
83BE,30060
83BE,30249
BE83,8763
BE83,30228
BE83,8663
83CT,30038
83CT,30039
83CA,1865
83CA,30210
83CA,30074
83CA,9162
GL83,30220
GL83,9575
GL83,1344
GL83,8118
83IN,1823
83IN,4389
83IN,1429
83IN,7858
83LB,20080
83MA,30054
83MA,30055
83MC,1870
83MC,2682
83MC,6819
83MC,9104
83NO,30224
83OL,30025
83OL,30026
83OS,40027
83OS,40061
83PE,30031
83PE,1617
83TH,2684
83TH,1703
83TH,7805
83TB,30046
83TB,30047
83TB,9515
83TB,9516
83VB,1779
83VB,1874
83VB,8091
83VB,8105
HD83,2946
8SFP,9587
8SMC,30578
8SMC,30579
8SUN,15
8SUN,5325
90SH,2696
90SH,4402
91CA,9158
91GL,8119
91GL,8117
91GL,8671
91LB,20089
91MC,8636
91MC,9257
91TH,7628
91TH,8415
91TH,20064
91TH,7627
91VA,9318
91VA,9331
91VA,7150
91VL,6153
91VL,910
93TH,20065
93TH,7978
95MC,8635
95PA,20062
95PA,20063
96VI,6154
96VI,924
99IN,7863
99IN,7953
99LB,20085
99MC,8622
99MC,8639
99MC,9256
99PE,1613
99PE,6937
99VB,9286
99VB,9287
ASUE,9433
ASUE,9464
ASUR,9345
ASUR,5255
ASUW,7732
ASUW,1799
AD17,6260
AD17,7844
AD18,6261
ALBA,3279
ALBA,5003
ALBD,2717
ALBD,5004
ALBD,1090
ALBD,6361
ALCH,2718
ALCH,4428
ALEL,4429
ALEL,7741
ALFR,3280
ALFR,1307
ALGU,3282
ALGU,5007
ALIS,3284
ALIS,5008
WECL,5014
WECL,2729
WECL,4434
ALRA,4433
ALRA,7941
ALSO,5017
ALSO,2728
ALSO,5016
ALSO,1640
ALSO,6959
ALUN,2730
ALUN,4435
ALUN,1776
ALWA,2731
LRMAAL,9125
LRMAAL,9126
APCO,24
APCO,5332
AZCH,2737
AZCH,4444
AZCH,294
AZCH,6487
AZEL,4446
AZEL,7820
AZEL,324
AZEL,6550
AZGE,8870
AZGE,8866
AZPE,8871
AZPE,8882
AZRA,2744
AZRA,8353
AZRA,30135
AZRA,30136
AZWA,2745
AZWA,4453
5SVB,7849
5SVB,6125
5SVB,895
AZCT,7838
ARMA,975
ARMA1,9717
AVCC,7974
AVTC,30581
VALU,84
VALU,3476
VALU,5215
LRCEBA,9780
LRCEBA,9781
BAFU,8605
DVPR,3576
BLPR,7852
BE17,1055
BOWA,9131
BOWA,7951
BGCL,9635
BGCL,4703
BDCE,155
BDCC,1092
BDCC,6364
BDCC,5064
BDGR,163
BDGR,5457
BRPO,5216
BDRO,6376
BDRO,40067
BDWI,194
BDWI,5482
LRCEBD,9799
LRCEBD,9800
BRME,216
BUPR,9087
LRCEBU,9788
LRCEBU,9789
CAHS,3887
CAHS,3877
CA95,9156
CA95,9205
CAMA,285
CAMA,5576
CECP,9007
CECP,9035
GLCL,5961
BECA,113
BECA,5411
BECA,2754
BECA,4461
CACT,244
CACT,2755
CACT,4480
CACT,6026
CCRG,8205
CCRG,20123
CAUH,6045
CAUH,813
