from_stop_id,to_stop_id,transfer_type,min_transfer_time,min_walk_time,min_wheelchair_time,suggested_buffer_time,wheelchair_transfer,from_trip_id,to_trip_id
NBM-0374-01,NBM-0374-02,1,,,,,,June13-821106-7029,June13-821098-6979
NBM-0374-01,NBM-0374-02,1,,,,,,SouthBase-826031-1905,SouthBase-826076-2055
NBM-0374-01,NBM-0374-02,1,,,,,,SouthBase-826033-1909,SouthBase-826077-2059
NBM-0374-01,NBM-0374-02,1,,,,,,SouthBase-826034-1911,SouthBase-826078-2061
NBM-0374-01,NBM-0374-02,1,,,,,,SouthBase-826036-1915,SouthBase-826080-2065
NBM-0374-01,NBM-0374-02,1,,,,,,SouthBase-826037-1917,SouthBase-826081-2067
NBM-0374-01,NBM-0374-02,1,,,,,,SouthBase-826038-1919,SouthBase-826082-2069
NBM-0374-01,NBM-0374-02,1,,,,,,SouthBase-826039-1925,SouthBase-826083-2075
NBM-0374-01,NBM-0374-02,1,,,,,,SouthBase-826042-1939,SouthBase-826085-2089
NBM-0374-01,NBM-0374-02,1,,,,,,SouthBase-826062-2021,SouthBase-826047-1971
NBM-0374-01,NBM-0374-02,1,,,,,,SouthBase-826069-2033,SouthBase-826053-1983
NBM-0374-01,NBM-0374-02,1,,,,,,SouthBase-826071-2037,SouthBase-826055-1987
NBM-0374-01,NBM-0374-02,1,,,,,,SouthBase-826073-2041,SouthBase-826057-1991
NBM-0374-01,NBM-0374-02,1,,,,,,SouthBase-793179-7029,SouthBase-793169-6979
NBM-0374-02,NBM-0374-01,1,,,,,,PlainsINT-837158-1960,PlainsINT-837173-2010
NBM-0374-02,NBM-0374-01,1,,,,,,PlainsINT-837159-1966,PlainsINT-837174-2016
NBM-0374-02,NBM-0374-01,1,,,,,,PlainsINT-837161-1972,PlainsINT-837176-2022
NBM-0374-02,NBM-0374-01,1,,,,,,PlainsINT-837162-1974,PlainsINT-837177-2024
NBM-0374-02,NBM-0374-01,1,,,,,,PlainsINT-837163-1976,PlainsINT-837178-2026
NBM-0374-02,NBM-0374-01,1,,,,,,PlainsINT-837164-1978,PlainsINT-837179-2028
NBM-0374-02,NBM-0374-01,1,,,,,,PlainsINT-837165-1980,PlainsINT-837181-2030
NBM-0374-02,NBM-0374-01,1,,,,,,PlainsINT-837167-1984,PlainsINT-837183-2034
NBM-0374-02,NBM-0374-01,1,,,,,,PlainsINT-837169-1988,PlainsINT-837185-2038
NBM-0374-02,NBM-0374-01,1,,,,,,PlainsINT-837171-1994,PlainsINT-837187-2044
NBM-0374-02,NBM-0374-01,1,,,,,,PlainsINT-837192-2062,PlainsINT-837148-1912
NBM-0374-02,NBM-0374-01,1,,,,,,PlainsINT-837197-2086,PlainsINT-837154-1936
NBM-0374-02,NBM-0374-01,1,,,,,,PlainsINT-837199-2092,PlainsINT-837156-1942
NBM-0374-02,NBM-0374-01,1,,,,,,PlainsINT-837711-1960,PlainsINT-837726-2010
NBM-0374-02,NBM-0374-01,1,,,,,,PlainsINT-837712-1966,PlainsINT-837727-2016
NBM-0374-02,NBM-0374-01,1,,,,,,PlainsINT-837714-1972,PlainsINT-837729-2022
NBM-0374-02,NBM-0374-01,1,,,,,,PlainsINT-837715-1974,PlainsINT-837730-2024
NBM-0374-02,NBM-0374-01,1,,,,,,PlainsINT-837716-1976,PlainsINT-837731-2026
NBM-0374-02,NBM-0374-01,1,,,,,,PlainsINT-837717-1978,PlainsINT-837732-2028
NBM-0374-02,NBM-0374-01,1,,,,,,PlainsINT-837718-1980,PlainsINT-837734-2030
NBM-0374-02,NBM-0374-01,1,,,,,,PlainsINT-837720-1984,PlainsINT-837736-2034
NBM-0374-02,NBM-0374-01,1,,,,,,PlainsINT-837722-1988,PlainsINT-837738-2038
NBM-0374-02,NBM-0374-01,1,,,,,,PlainsINT-837724-1994,PlainsINT-837740-2044
NBM-0374-02,NBM-0374-01,1,,,,,,PlainsINT-837745-2062,PlainsINT-837701-1912
