route_id,agency_id,route_short_name,route_long_name,route_type,route_url,route_color,route_text_color,direction0_name,direction1_name,route_group,alt_route_type,ext_nextride_id,route_division
MARS,1,MARS,Tempe Orbit Mars,3,,591769,FFFFFF,Northbound,Southbound,Neighborhood Circulators,798,,VMTM
MARY,1,MARY,Phoenix MARY Circulator,3,,591769,FFFFFF,Clockwise,Counterclockwise,Neighborhood Circulators,798,,PHW
MARz,1,MARz,Tempe Orbit Mars school trips,3,,591769,FFFFFF,Northbound,Southbound,School Trips on Public Transit Routes,798,,VMTM
MERC,1,MERC,Tempe Orbit Mercury,3,,591769,FFFFFF,Eastbound,Westbound,Neighborhood Circulators,798,,VMTM
MLHD,1,MLHD,Scottsdale Miller/Hayden,3,,591769,FFFFFF,Northbound,Southbound,Neighborhood Circulators,798,,SC
MSTG,1,MSTG,Scottsdale Mustang,3,,591769,FFFFFF,Northbound,Southbound,Neighborhood Circulators,798,,SC
SKYT,10,SKYT,PHX Sky Train®,0,https://www.skyharbor.com/PHXSkyTrain,53565F,FFFFFF,Eastbound,Westbound,PHX Sky Train®,905,,SKYT
SME,1,SME,South Mountain East RAPID,3,,591769,FFFFFF,Inbound,Outbound,Express & RAPID Bus,702,,PHNS
SMRT,1,SMRT,Phoenix SMART Circulator,3,,591769,FFFFFF,Eastbound,Westbound,Neighborhood Circulators,798,,PHNS
SMW,1,SMW,South Mountain West RAPID,3,,591769,FFFFFF,Inbound,Outbound,Express & RAPID Bus,702,,PHNS
SR51,1,SR51,SR 51 RAPID,3,,591769,FFFFFF,Inbound,Outbound,Express & RAPID Bus,702,,PHNS
STRN,1,STRN,Tempe Orbit Saturn,3,,591769,FFFFFF,Eastbound,Westbound,Neighborhood Circulators,798,,VMTM
S,1,S,Valley Metro Streetcar,0,,6D8932,000000,Northbound,Southbound,Valley Metro Rail & Streetcar,902,104,VMR
VENU,1,VENU,Tempe Orbit Venus,3,,591769,FFFFFF,Clockwise,Counterclockwise,Neighborhood Circulators,798,,VMTM
